comment_Kyle,comment_checker,initials_extractor,title,doi,url,journal,study_id,exp_id,exp2_id,assay_id,assay2_id,species_english,species_latin,source,sex,pesticide,pesticide_grade,cas_id,cas_id_comment,pesticide_chemical_class,dosage,dosage_unit,duration,duration_unit,control_solvent,temperature,temperature_unit,behaviour_measured,behaviour_measured_standardised,behaviour_assay,behavioural_assay_standardised,data_source,data_file,control_effective_n,control_shoal_n,control_fish_n,control_n,control_mean,control_sd,control_shoal_sd,control_fish_sd,control_se,statistics_comment_control,sample_size_comment_control,treatment_effective_n,treatment_shoal_n,treatment_fish_n,treatment_n,treatment_mean,treatment_sd,treatment_shoal_sd,treatment_fish_sd,treatment_se,statistics_comment_treatment,sample_size_comment_treatment,contact_author,contacted_date,contact_response,contact_comments
,,KM,Subchronic atrazine exposure changes defensive behaviour profile and disrupts brain acetylcholinesterase activity of zebrafish,10.1016/j.ntt.2014.05.006,https://sciencedirect.com/science/article/pii/S0892036214001226,Neurotoxicology and Teratology,schmidel_2014,schmidel_2014_exp_002,schmidel_2014_exp2_008,schmidel_2014_exp_002_assay_004,schmidel_2014_exp2_008_assay2_001,zebrafish,Danio rerio,labratory stock from commercial supplier ,mixed,atrazine,analytical,1912-24-9,in paper,triazine,1000,ug/L,14,days,acetone,27,celsius,shoaling,collective behaviour ,shoal area,group arrangment ,fig2,schmidel_2014_fig2,15.05882353,128,8,8,17.26240721,4.096896407,4.096896408,16.38758563,1.448471616,study reports mean and se,exact sample size provided,15.05882353,128,8,8,34.03225166,22.73981301,22.73981301,90.95925204,8.039737991,study reports mean and se,exact sample size provided,,,,
,,KM,Subchronic atrazine exposure changes defensive behaviour profile and disrupts brain acetylcholinesterase activity of zebrafish,10.1016/j.ntt.2014.05.006,https://sciencedirect.com/science/article/pii/S0892036214001226,Neurotoxicology and Teratology,schmidel_2014,schmidel_2014_exp_001,schmidel_2014_exp2_009,schmidel_2014_exp_001_assay_005,schmidel_2014_exp2_009_assay2_001,zebrafish,Danio rerio,labratory stock from commercial supplier ,mixed,atrazine,analytical,1912-24-9,in paper,triazine,10,ug/L,14,days,acetone,27,celsius,shoaling,collective behaviour ,total number of interactions,group arrangment ,fig3b,schmidel_2014_fig3b,15.05882353,128,8,8,1432.073713,253.6275665,253.6275665,1014.510266,89.67088608,study reports mean and se,exact sample size provided,15.05882353,128,8,8,1519.795232,148.8683542,148.8683542,595.4734169,52.63291139,study reports mean and se,exact sample size provided,,,,
,,KM,Subchronic atrazine exposure changes defensive behaviour profile and disrupts brain acetylcholinesterase activity of zebrafish,10.1016/j.ntt.2014.05.006,https://sciencedirect.com/science/article/pii/S0892036214001226,Neurotoxicology and Teratology,schmidel_2014,schmidel_2014_exp_002,schmidel_2014_exp2_010,schmidel_2014_exp_002_assay_005,schmidel_2014_exp2_010_assay2_001,zebrafish,Danio rerio,labratory stock from commercial supplier ,mixed,atrazine,analytical,1912-24-9,in paper,triazine,1000,ug/L,14,days,acetone,27,celsius,shoaling,collective behaviour ,total number of interactions,group arrangment ,fig3b,schmidel_2014_fig3b,15.05882353,128,8,8,1432.073713,253.6275665,253.6275665,1014.510266,89.67088608,study reports mean and se,exact sample size provided,15.05882353,128,8,8,1067.542067,358.3867787,358.3867788,1433.547115,126.7088608,study reports mean and se,exact sample size provided,,,,
,,KM,Household based-pyrethroids on adult zebrafish (Danio rerio) exert behavioral and cholinergic changes in different brain regions,10.1016/j.neuro.2023.02.011,https://www.sciencedirect.com/science/article/pii/S0161813X23000323?via%3Dihub,Neurotoxicology,tamagno_2023,tamagno_2023_exp_001,tamagno_2023_exp2_005,tamagno_2023_exp_001_assay_002,tamagno_2023_exp2_005_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,not reported ,prallethrin ,commercial  ,23031-36-9,https://commonchemistry.cas.org/detail?cas_rn=23031-36-9&search=prallethrin,pyrethroid,not reported,not reported,7,days,not reported ,28,celsius,shoaling test,collective behaviour ,distance among fish in a shoal ,group arrangment ,fig4,tamagno_2023_fig4,,,,not reported,10.89549911,not reported,,,0.514322917,study reports mean and se but no sample size,no sample size reported,,,,not reported,16.05702015,not reported,,,0.763715278,study reports mean and se but no sample size,no sample size reported,,,,
,,KM,Household based-pyrethroids on adult zebrafish (Danio rerio) exert behavioral and cholinergic changes in different brain regions,10.1016/j.neuro.2023.02.011,https://www.sciencedirect.com/science/article/pii/S0161813X23000323?via%3Dihub,Neurotoxicology,tamagno_2023,tamagno_2023_exp_002,tamagno_2023_exp2_006,tamagno_2023_exp_002_assay_002,tamagno_2023_exp2_006_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,not reported ,prallethrin ,commercial  ,23031-36-9,https://commonchemistry.cas.org/detail?cas_rn=23031-36-9&search=prallethrin,pyrethroid,not reported,not reported,7,days,not reported ,28,celsius,shoaling test,collective behaviour ,distance among fish in a shoal ,group arrangment ,fig4,tamagno_2023_fig4,,,,not reported,10.89549911,not reported,,,0.514322917,study reports mean and se but no sample size,no sample size reported,,,,not reported,16.13528195,not reported,,,0.722222222,study reports mean and se but no sample size,no sample size reported,,,,
,,KM,Household based-pyrethroids on adult zebrafish (Danio rerio) exert behavioral and cholinergic changes in different brain regions,10.1016/j.neuro.2023.02.011,https://www.sciencedirect.com/science/article/pii/S0161813X23000323?via%3Dihub,Neurotoxicology,tamagno_2023,tamagno_2023_exp_003,tamagno_2023_exp2_007,tamagno_2023_exp_003_assay_002,tamagno_2023_exp2_007_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,not reported ,transfluthrin,commercial  ,118712-89-3,https://commonchemistry.cas.org/detail?cas_rn=118712-89-3&search=transfluthrin,pyrethroid,not reported,not reported,7,days,not reported ,28,celsius,shoaling test,collective behaviour ,distance among fish in a shoal ,group arrangment ,fig4,tamagno_2023_fig4,,,,not reported,10.89549911,not reported,,,0.514322917,study reports mean and se but no sample size,no sample size reported,,,,not reported,15.35414172,not reported,,,0.74375,study reports mean and se but no sample size,no sample size reported,,,,
,,KM,Household based-pyrethroids on adult zebrafish (Danio rerio) exert behavioral and cholinergic changes in different brain regions,10.1016/j.neuro.2023.02.011,https://www.sciencedirect.com/science/article/pii/S0161813X23000323?via%3Dihub,Neurotoxicology,tamagno_2023,tamagno_2023_exp_004,tamagno_2023_exp2_008,tamagno_2023_exp_004_assay_002,tamagno_2023_exp2_008_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,not reported ,transfluthrin,commercial  ,118712-89-3,https://commonchemistry.cas.org/detail?cas_rn=118712-89-3&search=transfluthrin,pyrethroid,not reported,not reported,7,days,not reported ,28,celsius,shoaling test,collective behaviour ,distance among fish in a shoal ,group arrangment ,fig4,tamagno_2023_fig4,,,,not reported,10.89549911,not reported,,,0.514322917,study reports mean and se but no sample size,no sample size reported,,,,not reported,16.31483688,not reported,,,0.666666667,study reports mean and se but no sample size,no sample size reported,,,,
,,KM,Effect of thiamethoxam on the behavioral profile alteration and toxicity of adult zebrafish at environmentally relevant concentrations,10.1016/j.scitotenv.2022.159883,"https://www.sciencedirect.com/science/article/pii/S0048969722069832#:~:text=This%20result%20showed%20that%20THM,restlessness%20for%20adult%20male%20zebrafish.",Science of The Total Environment,yang_2023,yang_2023_exp_001,yang_2023_exp2_001,yang_2023_exp_001_assay_001,yang_2023_exp2_001_assay_001,zebrafish ,Danio rerio ,commercial supplier,male ,thiamethoxam,commercial  ,153719-23-4,https://commonchemistry.cas.org/detail?cas_rn=153719-23-4&search=thiamethoxam,neonicotinoid,0.1,ug/L,45,days,none,not reported,not reported,shoaling,collective behaviour ,shoaling average speed,group movement,tables4,yang_2023_tables4,9.6,6,24,24,5.91,0.98,0.49,0.98,0.200041662,study reports mean and sd,exact sample size provided,9.6,6,24,24,5.8,0.98,0.49,0.98,0.200041662,study reports mean and sd,exact sample size provided,,,,
,,KM,Effect of thiamethoxam on the behavioral profile alteration and toxicity of adult zebrafish at environmentally relevant concentrations,10.1016/j.scitotenv.2022.159883,"https://www.sciencedirect.com/science/article/pii/S0048969722069832#:~:text=This%20result%20showed%20that%20THM,restlessness%20for%20adult%20male%20zebrafish.",Science of The Total Environment,yang_2023,yang_2023_exp_002,yang_2023_exp2_002,yang_2023_exp_002_assay_001,yang_2023_exp2_002_assay_001,zebrafish ,Danio rerio ,commercial supplier,male ,thiamethoxam,commercial  ,153719-23-4,https://commonchemistry.cas.org/detail?cas_rn=153719-23-4&search=thiamethoxam,neonicotinoid,10,ug/L,45,days,none,not reported,not reported,shoaling,collective behaviour ,shoaling average speed,group movement,tables4,yang_2023_tables4,9.6,6,24,24,5.91,0.98,0.49,0.98,0.200041662,study reports mean and sd,exact sample size provided,9.6,6,24,24,6.24,0.77,0.385,0.77,0.157175592,study reports mean and sd,exact sample size provided,,,,
,,KM,Effect of thiamethoxam on the behavioral profile alteration and toxicity of adult zebrafish at environmentally relevant concentrations,10.1016/j.scitotenv.2022.159883,"https://www.sciencedirect.com/science/article/pii/S0048969722069832#:~:text=This%20result%20showed%20that%20THM,restlessness%20for%20adult%20male%20zebrafish.",Science of The Total Environment,yang_2023,yang_2023_exp_003,yang_2023_exp2_003,yang_2023_exp_003_assay_001,yang_2023_exp2_003_assay_001,zebrafish ,Danio rerio ,commercial supplier,male ,thiamethoxam,commercial  ,153719-23-4,https://commonchemistry.cas.org/detail?cas_rn=153719-23-4&search=thiamethoxam,neonicotinoid,1000,ug/L,45,days,none,not reported,not reported,shoaling,collective behaviour ,shoaling average speed,group movement,tables4,yang_2023_tables4,9.6,6,24,24,5.91,0.98,0.49,0.98,0.200041662,study reports mean and sd,exact sample size provided,9.6,6,24,24,6.75,0.9,0.45,0.9,0.183711731,study reports mean and sd,exact sample size provided,,,,
sample size is number of fish and does not state number of tanks ,,KM,Effect of thiamethoxam on the behavioral profile alteration and toxicity of adult zebrafish at environmentally relevant concentrations,10.1016/j.scitotenv.2022.159883,"https://www.sciencedirect.com/science/article/pii/S0048969722069832#:~:text=This%20result%20showed%20that%20THM,restlessness%20for%20adult%20male%20zebrafish.",Science of The Total Environment,yang_2023,yang_2023_exp_001,yang_2023_exp2_001,yang_2023_exp_001_assay_002,yang_2023_exp2_001_assay_002,zebrafish ,Danio rerio ,commercial supplier,male ,thiamethoxam,commercial  ,153719-23-4,https://commonchemistry.cas.org/detail?cas_rn=153719-23-4&search=thiamethoxam,neonicotinoid,0.1,ug/L,45,days,none,not reported,not reported,shoaling,collective behaviour ,average fish distance,group arrangment ,tables4,yang_2023_tables4,9.6,6,24,24,6.31,0.81,0.405,0.81,0.165340558,study reports mean and sd,exact sample size provided,9.6,6,24,24,5.67,0.58,0.29,0.58,0.118392004,study reports mean and sd,exact sample size provided,,,,
,,KM,Effect of thiamethoxam on the behavioral profile alteration and toxicity of adult zebrafish at environmentally relevant concentrations,10.1016/j.scitotenv.2022.159883,"https://www.sciencedirect.com/science/article/pii/S0048969722069832#:~:text=This%20result%20showed%20that%20THM,restlessness%20for%20adult%20male%20zebrafish.",Science of The Total Environment,yang_2023,yang_2023_exp_002,yang_2023_exp2_002,yang_2023_exp_002_assay_002,yang_2023_exp2_002_assay_002,zebrafish ,Danio rerio ,commercial supplier,male ,thiamethoxam,commercial  ,153719-23-4,https://commonchemistry.cas.org/detail?cas_rn=153719-23-4&search=thiamethoxam,neonicotinoid,10,ug/L,45,days,none,not reported,not reported,shoaling,collective behaviour ,average fish distance,group arrangment ,tables4,yang_2023_tables4,9.6,6,24,24,6.31,0.81,0.405,0.81,0.165340558,study reports mean and sd,exact sample size provided,9.6,6,24,24,5.87,0.62,0.31,0.62,0.12655697,study reports mean and sd,exact sample size provided,,,,
,,KM,Effect of thiamethoxam on the behavioral profile alteration and toxicity of adult zebrafish at environmentally relevant concentrations,10.1016/j.scitotenv.2022.159883,"https://www.sciencedirect.com/science/article/pii/S0048969722069832#:~:text=This%20result%20showed%20that%20THM,restlessness%20for%20adult%20male%20zebrafish.",Science of The Total Environment,yang_2023,yang_2023_exp_003,yang_2023_exp2_003,yang_2023_exp_003_assay_002,yang_2023_exp2_003_assay_002,zebrafish ,Danio rerio ,commercial supplier,male ,thiamethoxam,commercial  ,153719-23-4,https://commonchemistry.cas.org/detail?cas_rn=153719-23-4&search=thiamethoxam,neonicotinoid,1000,ug/L,45,days,none,not reported,not reported,shoaling,collective behaviour ,average fish distance,group arrangment ,tables4,yang_2023_tables4,9.6,6,24,24,6.31,0.81,0.405,0.81,0.165340558,study reports mean and sd,exact sample size provided,9.6,6,24,24,4.84,1.04,0.52,1.04,0.212289111,study reports mean and sd,exact sample size provided,,,,
,,KM,Effect of thiamethoxam on the behavioral profile alteration and toxicity of adult zebrafish at environmentally relevant concentrations,10.1016/j.scitotenv.2022.159883,"https://www.sciencedirect.com/science/article/pii/S0048969722069832#:~:text=This%20result%20showed%20that%20THM,restlessness%20for%20adult%20male%20zebrafish.",Science of The Total Environment,yang_2023,yang_2023_exp_001,yang_2023_exp2_001,yang_2023_exp_001_assay_003,yang_2023_exp2_001_assay_003,zebrafish ,Danio rerio ,commercial supplier,male ,thiamethoxam,commercial  ,153719-23-4,https://commonchemistry.cas.org/detail?cas_rn=153719-23-4&search=thiamethoxam,neonicotinoid,0.1,ug/L,45,days,none,not reported,not reported,shoaling,collective behaviour ,maximum inter-fish difference,group arrangment ,tables4,yang_2023_tables4,9.6,6,24,24,18.23,0.73,0.365,0.73,0.149010626,study reports mean and sd,exact sample size provided,9.6,6,24,24,17.64,0.72,0.36,0.72,0.146969385,study reports mean and sd,exact sample size provided,,,,
,,KM,Effect of thiamethoxam on the behavioral profile alteration and toxicity of adult zebrafish at environmentally relevant concentrations,10.1016/j.scitotenv.2022.159883,"https://www.sciencedirect.com/science/article/pii/S0048969722069832#:~:text=This%20result%20showed%20that%20THM,restlessness%20for%20adult%20male%20zebrafish.",Science of The Total Environment,yang_2023,yang_2023_exp_002,yang_2023_exp2_002,yang_2023_exp_002_assay_003,yang_2023_exp2_002_assay_003,zebrafish ,Danio rerio ,commercial supplier,male ,thiamethoxam,commercial  ,153719-23-4,https://commonchemistry.cas.org/detail?cas_rn=153719-23-4&search=thiamethoxam,neonicotinoid,10,ug/L,45,days,none,not reported,not reported,shoaling,collective behaviour ,maximum inter-fish difference,group arrangment ,tables4,yang_2023_tables4,9.6,6,24,24,18.23,0.73,0.365,0.73,0.149010626,study reports mean and sd,exact sample size provided,9.6,6,24,24,18.13,0.66,0.33,0.66,0.134721936,study reports mean and sd,exact sample size provided,,,,
,,KM,Effect of thiamethoxam on the behavioral profile alteration and toxicity of adult zebrafish at environmentally relevant concentrations,10.1016/j.scitotenv.2022.159883,"https://www.sciencedirect.com/science/article/pii/S0048969722069832#:~:text=This%20result%20showed%20that%20THM,restlessness%20for%20adult%20male%20zebrafish.",Science of The Total Environment,yang_2023,yang_2023_exp_003,yang_2023_exp2_003,yang_2023_exp_003_assay_003,yang_2023_exp2_003_assay_003,zebrafish ,Danio rerio ,commercial supplier,male ,thiamethoxam,commercial  ,153719-23-4,https://commonchemistry.cas.org/detail?cas_rn=153719-23-4&search=thiamethoxam,neonicotinoid,1000,ug/L,45,days,none,not reported,not reported,shoaling,collective behaviour ,maximum inter-fish difference,group arrangment ,tables4,yang_2023_tables4,9.6,6,24,24,18.23,0.73,0.365,0.73,0.149010626,study reports mean and sd,exact sample size provided,9.6,6,24,24,17.51,1.28,0.64,1.28,0.261278906,study reports mean and sd,exact sample size provided,,,,
does not state number of fish but states 6 shoals from two tanks,,KM,Chronic exposure to environmentally realistic levels of diuron impacts the behaviour of adult marine medaka (Oryzias melastigma),10.1016/j.aquatox.2021.105917,https://www.sciencedirect.com/science/article/pii/S0166445X21001764?via%3Dihub,Aquatic Toxicology,zhou_2021,zhou_2021_exp_001,zhou_2021_exp2_005,zhou_2021_exp_001_assay_003,zhou_2021_exp2_005_assay2_001,marine medaka,Oryzias melastigma,laboratory stock from not specified source,mixed,diuron,analytical,330-54-1,in paper,urea,5,ng/L,122,days,DMSO,28,celsius,shoaling ,collective behaviour ,cluster score,group arrangment ,fig5b,zhou_2021_fig5b,,,,22,2.577805689,1.620161444,,,0.34541958,study reports mean and se,,,,,22,3.095935059,2.342665871,,,0.499458042,study reports mean and se,,,,,
,,KM,Chronic exposure to environmentally realistic levels of diuron impacts the behaviour of adult marine medaka (Oryzias melastigma),10.1016/j.aquatox.2021.105917,https://www.sciencedirect.com/science/article/pii/S0166445X21001764?via%3Dihub,Aquatic Toxicology,zhou_2021,zhou_2021_exp_002,zhou_2021_exp2_006,zhou_2021_exp_002_assay_003,zhou_2021_exp2_006_assay2_001,marine medaka,Oryzias melastigma,laboratory stock from not specified source,mixed,diuron,analytical,330-54-1,in paper,urea,50,ng/L,122,days,DMSO,28,celsius,shoaling ,collective behaviour ,cluster score,group arrangment ,fig5b,zhou_2021_fig5b,,,,22,2.577805689,1.620161444,,,0.34541958,study reports mean and se,,,,,22,2.405095898,0.569245913,,,0.121363636,study reports mean and se,,,,,
,,KM,Chronic exposure to environmentally realistic levels of diuron impacts the behaviour of adult marine medaka (Oryzias melastigma),10.1016/j.aquatox.2021.105917,https://www.sciencedirect.com/science/article/pii/S0166445X21001764?via%3Dihub,Aquatic Toxicology,zhou_2021,zhou_2021_exp_003,zhou_2021_exp2_007,zhou_2021_exp_003_assay_003,zhou_2021_exp2_007_assay2_001,marine medaka,Oryzias melastigma,laboratory stock from not specified source,mixed,diuron,analytical,330-54-1,in paper,urea,500,ng/L,122,days,DMSO,28,celsius,shoaling ,collective behaviour ,cluster score,group arrangment ,fig5b,zhou_2021_fig5b,,,,22,2.577805689,1.620161444,,,0.34541958,study reports mean and se,,,,,22,1.928977017,1.182279972,,,0.252062937,study reports mean and se,,,,,
,,KM,Chronic exposure to environmentally realistic levels of diuron impacts the behaviour of adult marine medaka (Oryzias melastigma),10.1016/j.aquatox.2021.105917,https://www.sciencedirect.com/science/article/pii/S0166445X21001764?via%3Dihub,Aquatic Toxicology,zhou_2021,zhou_2021_exp_004,zhou_2021_exp2_008,zhou_2021_exp_004_assay_003,zhou_2021_exp2_008_assay2_001,marine medaka,Oryzias melastigma,laboratory stock from not specified source,mixed,diuron,analytical,330-54-1,in paper,urea,5000,ng/L,122,days,DMSO,28,celsius,shoaling ,collective behaviour ,cluster score,group arrangment ,fig5b,zhou_2021_fig5b,,,,22,2.577805689,1.620161444,,,0.34541958,study reports mean and se,,,,,22,1.513539954,1.007127384,,,0.21472028,study reports mean and se,,,,,
